VT_rate, phenotype, count, partner
0.0, 0000000000000000000000000000000000000000000000000000000001000001, 4, host
0.0, 0000000000000000000000000000000000000000000000000000000000000101, 8, host
0.0, 0000000000000000000000000000000000000000000000000000000000100001, 11, host
0.0, 0000000000000000000000000000000000000000000000000000000000000001, 19933, host
0.0, 0000000000000000000000000000000000000000000000000000000000000011, 13, host
0.0, 0000000000000000000000000000000000000000000000000000000000001001, 17, host
0.0, 0000000000000000000000000000000000000000000000000000000000010001, 14, host
0.0, 0000000000000000000000000000000000000000000000000000000000010000, 2, sym
0.0, 0000000000000000000000000000000000000000000000000000000000010001, 7, sym
0.0, 0000000000000000000000000000000000000000000000000000000000000011, 10, sym
0.0, 0000000000000000000000000000000000000000000000000000000000000001, 14101, sym
0.0, 0000000000000000000000000000000000000000000000000000000000000000, 4563, sym
0.0, 0000000000000000000000000000000000000000000000000000000000100001, 4, sym
0.0, 0000000000000000000000000000000000000000000000000000000000000010, 1, sym
0.0, 0000000000000000000000000000000000000000000000000000000000000101, 8, sym
0.0, 0000000000000000000000000000000000000000000000000000000001000001, 6, sym
0.0, 0000000000000000000000000000000000000000000000000000000000001000, 1, sym
0.0, 0000000000000000000000000000000000000000000000000000000000001001, 4, sym
0.2, 0000000000000000000000000000000000000000000000000000000001000001, 4, host
0.2, 0000000000000000000000000000000000000000000000000000000000000101, 8, host
0.2, 0000000000000000000000000000000000000000000000000000000000100001, 11, host
0.2, 0000000000000000000000000000000000000000000000000000000000000001, 19933, host
0.2, 0000000000000000000000000000000000000000000000000000000000000011, 13, host
0.2, 0000000000000000000000000000000000000000000000000000000000001001, 17, host
0.2, 0000000000000000000000000000000000000000000000000000000000010001, 14, host
0.2, 0000000000000000000000000000000000000000000000000000000000010000, 2, sym
0.2, 0000000000000000000000000000000000000000000000000000000000010001, 7, sym
0.2, 0000000000000000000000000000000000000000000000000000000000000011, 10, sym
0.2, 0000000000000000000000000000000000000000000000000000000000000001, 14101, sym
0.2, 0000000000000000000000000000000000000000000000000000000000000000, 4563, sym
0.2, 0000000000000000000000000000000000000000000000000000000000100001, 4, sym
0.2, 0000000000000000000000000000000000000000000000000000000000000010, 1, sym
0.2, 0000000000000000000000000000000000000000000000000000000000000101, 8, sym
0.2, 0000000000000000000000000000000000000000000000000000000001000001, 6, sym
0.2, 0000000000000000000000000000000000000000000000000000000000001000, 1, sym
0.2, 0000000000000000000000000000000000000000000000000000000000001001, 4, sym
0.4, 0000000000000000000000000000000000000000000000000000000001000001, 4, host
0.4, 0000000000000000000000000000000000000000000000000000000000000101, 8, host
0.4, 0000000000000000000000000000000000000000000000000000000000100001, 11, host
0.4, 0000000000000000000000000000000000000000000000000000000000000001, 19933, host
0.4, 0000000000000000000000000000000000000000000000000000000000000011, 13, host
0.4, 0000000000000000000000000000000000000000000000000000000000001001, 17, host
0.4, 0000000000000000000000000000000000000000000000000000000000010001, 14, host
0.4, 0000000000000000000000000000000000000000000000000000000000010000, 2, sym
0.4, 0000000000000000000000000000000000000000000000000000000000010001, 7, sym
0.4, 0000000000000000000000000000000000000000000000000000000000000011, 10, sym
0.4, 0000000000000000000000000000000000000000000000000000000000000001, 14101, sym
0.4, 0000000000000000000000000000000000000000000000000000000000000000, 4563, sym
0.4, 0000000000000000000000000000000000000000000000000000000000100001, 4, sym
0.4, 0000000000000000000000000000000000000000000000000000000000000010, 1, sym
0.4, 0000000000000000000000000000000000000000000000000000000000000101, 8, sym
0.4, 0000000000000000000000000000000000000000000000000000000001000001, 6, sym
0.4, 0000000000000000000000000000000000000000000000000000000000001000, 1, sym
0.4, 0000000000000000000000000000000000000000000000000000000000001001, 4, sym
0.6, 0000000000000000000000000000000000000000000000000000000001000001, 4, host
0.6, 0000000000000000000000000000000000000000000000000000000000000101, 8, host
0.6, 0000000000000000000000000000000000000000000000000000000000100001, 11, host
0.6, 0000000000000000000000000000000000000000000000000000000000000001, 19933, host
0.6, 0000000000000000000000000000000000000000000000000000000000000011, 13, host
0.6, 0000000000000000000000000000000000000000000000000000000000001001, 17, host
0.6, 0000000000000000000000000000000000000000000000000000000000010001, 14, host
0.6, 0000000000000000000000000000000000000000000000000000000000010000, 2, sym
0.6, 0000000000000000000000000000000000000000000000000000000000010001, 7, sym
0.6, 0000000000000000000000000000000000000000000000000000000000000011, 10, sym
0.6, 0000000000000000000000000000000000000000000000000000000000000001, 14101, sym
0.6, 0000000000000000000000000000000000000000000000000000000000000000, 4563, sym
0.6, 0000000000000000000000000000000000000000000000000000000000100001, 4, sym
0.6, 0000000000000000000000000000000000000000000000000000000000000010, 1, sym
0.6, 0000000000000000000000000000000000000000000000000000000000000101, 8, sym
0.6, 0000000000000000000000000000000000000000000000000000000001000001, 6, sym
0.6, 0000000000000000000000000000000000000000000000000000000000001000, 1, sym
0.6, 0000000000000000000000000000000000000000000000000000000000001001, 4, sym
0.8, 0000000000000000000000000000000000000000000000000000000001000001, 4, host
0.8, 0000000000000000000000000000000000000000000000000000000000000101, 8, host
0.8, 0000000000000000000000000000000000000000000000000000000000100001, 11, host
0.8, 0000000000000000000000000000000000000000000000000000000000000001, 19933, host
0.8, 0000000000000000000000000000000000000000000000000000000000000011, 13, host
0.8, 0000000000000000000000000000000000000000000000000000000000001001, 17, host
0.8, 0000000000000000000000000000000000000000000000000000000000010001, 14, host
0.8, 0000000000000000000000000000000000000000000000000000000000010000, 2, sym
0.8, 0000000000000000000000000000000000000000000000000000000000010001, 7, sym
0.8, 0000000000000000000000000000000000000000000000000000000000000011, 10, sym
0.8, 0000000000000000000000000000000000000000000000000000000000000001, 14101, sym
0.8, 0000000000000000000000000000000000000000000000000000000000000000, 4563, sym
0.8, 0000000000000000000000000000000000000000000000000000000000100001, 4, sym
0.8, 0000000000000000000000000000000000000000000000000000000000000010, 1, sym
0.8, 0000000000000000000000000000000000000000000000000000000000000101, 8, sym
0.8, 0000000000000000000000000000000000000000000000000000000001000001, 6, sym
0.8, 0000000000000000000000000000000000000000000000000000000000001000, 1, sym
0.8, 0000000000000000000000000000000000000000000000000000000000001001, 4, sym
1.0, 0000000000000000000000000000000000000000000000000000000001000001, 4, host
1.0, 0000000000000000000000000000000000000000000000000000000000000101, 8, host
1.0, 0000000000000000000000000000000000000000000000000000000000100001, 11, host
1.0, 0000000000000000000000000000000000000000000000000000000000000001, 19933, host
1.0, 0000000000000000000000000000000000000000000000000000000000000011, 13, host
1.0, 0000000000000000000000000000000000000000000000000000000000001001, 17, host
1.0, 0000000000000000000000000000000000000000000000000000000000010001, 14, host
1.0, 0000000000000000000000000000000000000000000000000000000000010000, 2, sym
1.0, 0000000000000000000000000000000000000000000000000000000000010001, 7, sym
1.0, 0000000000000000000000000000000000000000000000000000000000000011, 10, sym
1.0, 0000000000000000000000000000000000000000000000000000000000000001, 14101, sym
1.0, 0000000000000000000000000000000000000000000000000000000000000000, 4563, sym
1.0, 0000000000000000000000000000000000000000000000000000000000100001, 4, sym
1.0, 0000000000000000000000000000000000000000000000000000000000000010, 1, sym
1.0, 0000000000000000000000000000000000000000000000000000000000000101, 8, sym
1.0, 0000000000000000000000000000000000000000000000000000000001000001, 6, sym
1.0, 0000000000000000000000000000000000000000000000000000000000001000, 1, sym
1.0, 0000000000000000000000000000000000000000000000000000000000001001, 4, sym
