rep, VT_rate, host_pm, host_fm, sym_pm, sym_fm
12, 0.0, 0.956667, -nan, 0.956667, -nan
15, 0.0, 0.956667, -nan, 0.956667, -nan
16, 0.0, 0.956667, -nan, 0.956667, -nan
17, 0.0, 0.956667, -nan, 0.956667, -nan
12, 0.2, 0.956667, -nan, 0.956667, -nan
14, 0.2, 0.956667, -nan, 0.956667, -nan
15, 0.2, 0.956667, -nan, 0.956667, -nan
16, 0.2, 0.956667, -nan, 0.956667, -nan
17, 0.2, 0.956667, -nan, 0.956667, -nan
12, 0.4, 0.956667, -nan, 0.956667, -nan
15, 0.4, 0.956667, -nan, 0.956667, -nan
16, 0.4, 0.956667, -nan, 0.956667, -nan
17, 0.4, 0.956667, -nan, 0.956667, -nan
12, 0.6, 0.956667, -nan, 0.956667, -nan
15, 0.6, 0.956667, -nan, 0.956667, -nan
16, 0.6, 0.956667, -nan, 0.956667, -nan
17, 0.6, 0.956667, -nan, 0.956667, -nan
12, 0.8, 0.956667, -nan, 0.956667, -nan
15, 0.8, 0.956667, -nan, 0.956667, -nan
16, 0.8, 0.956667, -nan, 0.956667, -nan
17, 0.8, 0.956667, -nan, 0.956667, -nan
12, 1.0, 0.956667, -nan, 0.956667, -nan
15, 1.0, 0.956667, -nan, 0.956667, -nan
16, 1.0, 0.956667, -nan, 0.956667, -nan
17, 1.0, 0.956667, -nan, 0.956667, -nan
